,Date,Tweet Text,Retweet Count,Favorite Count,Username,User follower count,ID
0,Wed May 04 17:00:28 +0000 2022,"It's happening life in less than 24hrs

10 $APE coin to be won, hop in now!!!

@GetCBC $CBC #NFTs #BSC #ETH #PlayToEarn #GameFi https://t.co/6g62ozeNOZ",0,0,UdoNsikak3,362,1521897558641106946
1,Wed May 04 17:00:27 +0000 2022,"@1goonrich $PIGEON
- The most hyped memecoin on Ethereum
 The marketing continues  and it has strong community who support this project. Before going in DYOR always !! 
🐦 trusted dev
🐦hype community
🐦massive marketing on going
#ETH #PIGEON

Telegram:@PIGeonETH
Twitter: @PIGeonETH #4024",0,0,DeboMalony,3,1521897555877109760
2,Wed May 04 17:00:25 +0000 2022,"@hackernoon $PIGEON
- The most hyped memecoin on Ethereum
 The marketing continues  and it has strong community who support this project. Before going in DYOR always !! 
🐦 trusted dev
🐦hype community
🐦massive marketing on going
#ETH #PIGEON

Telegram:@PIGeonETH
Twitter: @PIGeonETH 
2018",0,0,SuMin20220030,4,1521897546222043137
3,Wed May 04 17:00:23 +0000 2022,"@1goonrich 💯Something big is happening today in the #ShibaDoge @RealShibaDoge Ecosystem.
It's the first of it's kind. #BurnToken is burning #ShibaInu 🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥
It's huge . #Crypto #Bitcoin #Eth #Nfts #Launchpads. Let's go 🚀🚀🚀🚀 🚀🚀🚀 🚀🚀 https://t.co/VX1AnLc9YG",0,0,RevEdwinAmimi,186,1521897539582238722
4,Wed May 04 17:00:22 +0000 2022,"@moniwar_game @news_of_bsc @binance @DoraHacks @bsc_daily @BNBCHAIN @bscarmyofficial I really believe that this project will really go a long way to put smile in our face. I hope this project will develop well and will be on the moon.🚀🚀

@ataur0021
@ruhul00755
@Khursid33522380

#Giveaway #Airdrop #BSC #ETH #Moniwar #BNBChain #Binance",0,0,Safikul7001,120,1521897535131897861
5,Wed May 04 17:00:22 +0000 2022,"【Mysterious lives × Pixel art 🎨】is concept ▶︎Smart Baby

・Kawaii💕＆Cool🧊
・Each items have background🌇🌅

✅VT 0.003 &amp; 17 owners
✅All 0.005 #ETH &amp; #Polygon

If you like it, please check it out✨

🌊#Opensea🌊
https://t.co/A7avuRFnYu

#JPNNFT #NFT #NFTs #NFTJPN https://t.co/jDnkqv1sFm",0,0,Smart_Baby_Club,779,1521897534788358144
6,Wed May 04 17:00:21 +0000 2022,"@WarpBond Finally #Fantom GameFi 🤩🤩

@Popo29221150 
@Pikachu0896 
@tanujay15 
@PitungRodi 
@Fathdin_ 

#NFTGiveaway #NFTs #Crypto #BSC #ETH $FTM #GameFi #NFTart #PlayToEarn #NFT #NFTartist #NFTCommunity #WARP",0,0,Honeygainseeker,210,1521897530254295045
7,Wed May 04 17:00:20 +0000 2022,"@1goonrich @AltcoinGordon $PIGEON
- The most hyped memecoin on Ethereum
 The marketing continues  and it has strong community who support this project. Before going in DYOR always !! 
🐦 trusted dev
🐦hype community
🐦massive marketing on going
#ETH #PIGEON

Telegram:@PIGeonETH
Twitter: @PIGeonETH #4023",0,0,DeboMalony,3,1521897526881918976
8,Wed May 04 17:00:20 +0000 2022,"Any Web3 Fitness Freaks here?
#ETH #Web3",0,0,CraferOfficial,33,1521897525405536256
9,Wed May 04 17:00:19 +0000 2022,"@RoughDarkness @BTClovera @CoinCards @bitrefill $PIGEON
- The most hyped memecoin on Ethereum
 The marketing continues  and it has strong community who support this project. Before going in DYOR always !! 
🐦 trusted dev
🐦hype community
🐦massive marketing on going
#ETH #PIGEON

Telegram:@PIGeonETH
Twitter: @PIGeonETH 
2017",0,0,SuMin20220030,4,1521897523669274624
10,Wed May 04 17:00:14 +0000 2022,"@scamelgang @shibainuart @WatcherGuru $PIGEON
- The most hyped memecoin on Ethereum
 The marketing continues  and it has strong community who support this project. Before going in DYOR always !! 
🐦 trusted dev
🐦hype community
🐦massive marketing on going
#ETH #PIGEON

Telegram:@PIGeonETH
Twitter: @PIGeonETH 
2016",0,0,SuMin20220030,4,1521897500751581185
