,Date,Tweet Text,Retweet Count,Favorite Count,Username,User follower count,ID
0,Sun May 01 16:00:31 +0000 2022,"YOUR PRIVATE TRADING ASSISTANT 🚀

#AI look at hourly charts $ETH #ETH

Since the temporary top at the level of 2946.84 on 2022/04/28  at 9 am ETH/USD has been trading with bearish...

Just choose your coin and be an expert!
#crypto #trading

CHECK https://t.co/Gm1Mua8CwN https://t.co/14WnUC5qc8",0,0,BalanceOt,568,1520795308472606720
1,Sun May 01 16:00:30 +0000 2022,"@OthesrsideMeta @BoredApeYC Congratulations on your successful Launch,you guys going awesomely hot💥🤑 #nft #BAYC #metaverse #crypto #eth",0,0,EessoArtGallery,1647,1520795305012346880
2,Sun May 01 16:00:29 +0000 2022,"Check my NFT https://t.co/WfoxR47Y21 @opensea 

Price-0.51 #ETH 

#NFT #NFTs #NFTCommunity #nftart https://t.co/r2mJlz4Lvu",0,0,himmelsdamon,6,1520795301187051521
3,Sun May 01 16:00:28 +0000 2022,"@Cryptofam3 Trust here! @ikaika_inu🌺
Real Warriors Holding strong 🥷🏿🔥
If you want to be part of a new Movement,join us🌺

Ikaika inu strives to help animals around the globe by giving them a second chance at life through the power of blockchain technology

  #IKAI #Crypto  #ETH @dodo https://t.co/tRzk1rLqBP",0,0,StrayThe1,224,1520795298297262080
4,Sun May 01 16:00:27 +0000 2022,"@easyeight08 #PoorQuack #Eth or #BSC. Both are at an incredible price when you consider the utility on offer

I have bags loaded for the 🦆 season because this will be the next big trend

The launchpad is close and the first launch of $GEGG @GoldenEggToken will be epic

#PoorQuackArmy #Crypto https://t.co/GhadXzdrXr",0,0,S93Jay,5530,1520795292844630016
5,Sun May 01 16:00:26 +0000 2022,"@harryyeh #PayBolt 's #web3 #CrossChain bridging capabilities optimizes for the cheapest blockchain to minimize transactions fees.👌💎

🔗https://t.co/9j3hl3nZG7

#BSC #Ethereum #Polygon #blockchain #Crypto  @PayBoltOfficial @paybolt4biz @john21crypto @Mmmpieee https://t.co/pAvta0fqBQ",0,0,ethereumestic,100,1520795289669537792
6,Sun May 01 16:00:26 +0000 2022,"@BitcoinFear Please buy my NFT in Binance Marketplace.

Mobox Avatar #12752364
3 BNB

#Binance 
#BNB 
#SHIBARMY 
#ETH
#NFTCommunity 
#NFTdrop",0,0,Mamen_110,112,1520795288600203264
7,Sun May 01 16:00:24 +0000 2022,"@cryptogems555 Batcoin Cmc is loading...

We will be happy to see you with us.

🦇Batcoin🦇

0xAa731Eb48f701C132D5FA69B69f5eb4064d9BE34

#batcoin #eth #btc #bnb #bsc #PancakeSwap #poocoin #doge #shiba #memecoin #gmt #xrp #ltc #eos #raca #gem #fantoken #defi #nft https://t.co/BsmIJIRb8z",0,0,GunlukTarih,42,1520795280542687235
8,Sun May 01 16:00:23 +0000 2022,Will May be a bullish month for #cryptocurrency? 🤔🤔🤔 #doge #APECOIN #BTC #ETH,0,0,RyanTownslayer,425,1520795278135099392
9,Sun May 01 16:00:21 +0000 2022,Time to invest your money on. More investment more profit. Don't lose your chance! Join now... !!#FJT #Fujicompany #crypto  #cryptocurrency #blockchain #bounty #eth #token #azbit,0,0,AMarionM2171,4397,1520795269545467904
10,Sun May 01 16:00:20 +0000 2022,"At least with Cardano, I know when it says processing, my transaction is successful, and I will get my nft 🖼 soon. Lmao, I don’t have to pay/burn a ridiculous fee. #OthersideLand #Otherside #CardanoNFTs #ETH",0,0,Ugo41643839,21,1520795265036427265
11,Sun May 01 16:00:18 +0000 2022,"@Crypto__emily @QuickswapDEX Avoid obsessing about pricing and graphs. Even if the
bulk of my existing assets, such as #ETH  or $CVP decline in value, I maintain a positive attitude and consider what the future may bring if I continue to retain them.

 ""If one does not sell, nothing is lost""",0,1,psalmcrypt,171,1520795254919766016
12,Sun May 01 16:00:17 +0000 2022,Drop your better than another one #NFT here👇🏻🚀 #NFT #NFTarts #NFTartist #NFTnew #ETH #OpenSea #Polygon #NFTBinance #NFTCollection #NFTCollector #NFTCommunity #PromoteON,0,0,jsnchzl87,62,1520795252725993472
13,Sun May 01 16:00:17 +0000 2022,"#Ethereum hourly net stats.
3pm - 4pm UTC
blocks:269
avgDiff:13.96 PH
hashRate:1.1 PH/s
avgSize:87.88 KB
txns:51321

#ETH #BTC #crypto",0,0,Twe_ether,193,1520795250691874816
14,Sun May 01 16:00:10 +0000 2022,"The current price of #eth is $2,808.43, an increase of +1.4%, a 24 hr volume of $14.26B, and a market cap of $337.28B",0,0,eth_hourly,2143,1520795222397136898
15,Sun May 01 16:00:08 +0000 2022,"Ethereum - ETH
Price: $2,805.95
Change in 1h: +1.57688297%
Market cap: $338,407,883,875.70
Ranking: 2
#Ethereum #ETH",0,0,topcryptostats,4610,1520795211785334785
16,Sun May 01 16:00:05 +0000 2022,"@PandaGirlToken @IlyasBisultanov PandaGirl | NFT MINTING LIVE!!!!
@PandaGirlToken

#pandagirl #anime #bsc #bnb #BTC #nft #ETH #ADA #nfts #buyback",0,0,VadimIgorevic,2,1520795199655628800
17,Sun May 01 16:00:04 +0000 2022,"#erc20gas #ETH #crypto 
⛽️Auto 15Min ETH Gas Tracking⛽️

GWEI:
Low: 63 gwei
Avg: 63 gwei
High: 65 gwei

Opensea: Sale
Low: $35.79
Avg: $35.79
High: $36.92

Uniswap V3: Swap
Low: $32.64
Avg: $32.64
High: $33.67

USDT: Transfer
Low: $9.57
Avg: $9.57
High: $9.88",0,0,Erc20Gas,656,1520795194400116737
18,Sun May 01 16:00:03 +0000 2022,"You’ve heard about Stewart Waterson, but have you heard about his illustrious work in game design as a renowned 2D artist?

We got you! 👁

Here’s a 🧵about it👇🏻

#NFTartist 
#ETH
#NFTs 
#EY3K0N",0,1,EY3K0N,1475,1520795191065518082
19,Sun May 01 16:00:01 +0000 2022,"#BTC $38503  $BTC
#ETH $2808.43  $Eth
#BNB $389.4  $Bnb",0,0,Pricecrypt0,95,1520795184514179080
20,Sun May 01 16:00:00 +0000 2022,"@BITGERT_CHAIN @Brisepadco #Bitgert #BRISE is future 🔮
In next 2-3 years it's going to rule the crypto like #BTC #ETH 
FOLLOW ME AND I WOULD FOLLOW U BACK TO MAKE OUR COMMUNITY STRONG 💪💪💪
Retweet, Like and Follow 💗 this tweet if you believe in this golden project. 💚💚💚",0,0,FutureBilionar,34,1520795180395286531
21,Sun May 01 16:00:00 +0000 2022,"Top 10 #Cryptocurrency Live Prices: 
(12:00 PM . May 01,2022)

#BTC $38481.32
#ETH $2805.95
#BNB $389.26
#DOGE $0.13
#SHIB $0.0000214840
#AXS $31.91
#MANA $1.52
#UNI $7.18
#GM $0.0000145472
#KISHU $0.0000000009

Comments! Which coins would like to be listed?",0,0,StoreFiAi,765,1520795178503712769
22,Sun May 01 15:59:58 +0000 2022,Requesting #fUSDC on the @fluiditymoney #ethereum faucet! f4594b2ee8dbb191b3ddc5770909ed6b #fluiditymoney,0,0,zuhaib44,106,1520795171390377984
23,Sun May 01 15:59:54 +0000 2022,"Come on #Tezos Fam, let's show some strength and create some awareness over our beatiful chain.Even the #ETH v.2 didn't fix the gasfee issues.#Tezos is the chain that are ready for an insane growth.Just wait until #DEFI really starts to flow #Blockchain
#tezoscommunity #Ottez",1,0,PissNirvana,1260,1520795154877136896
24,Sun May 01 15:59:48 +0000 2022,"@MetawarOfficial Very good projectd ✅
@sardarshafieza2 @shawa94992175 @KeyvanAzizi58 @kakatos7 @Keywan54855480 

#BNBChain #Ethereum #C98USDT",0,0,Mohaamaad_azizi,58,1520795131279990784
25,Sun May 01 15:59:39 +0000 2022,"@kris @CrotamaOfficial
 missed #croge ?don't miss crotama
✅Huge partnerships🤝
✅Bitlord &amp; Adam Shelton on board
✅Staking up to 2000% APY 
✅KYC
WHATS NEXT?
💥#P2E game
💥#CEX listings       
💥#NFT Marketplace
💥#ETH bridge   
#cro #Crotama #CrotamaWolfPack #CrotamaP2E #CrotamaNFT",0,0,bitcointamilan,149,1520795093464395777
26,Sun May 01 15:59:37 +0000 2022,"@BitgertChain #Bitgert #BRISE is future 🔮
In next 2-3 years it's going to rule the crypto like #BTC #ETH 
FOLLOW ME AND I WOULD FOLLOW U BACK TO MAKE OUR COMMUNITY STRONG 💪💪💪
Retweet, Like and Follow 💗 this tweet if you believe in this golden project. 💚💚💚",0,0,FutureBilionar,34,1520795082957467648
27,Sun May 01 15:59:27 +0000 2022,"@shibarium_ Please buy my NFT in Binance Marketplace.

Mobox Avatar #12752364
3 BNB

#Binance 
#BNB 
#SHIBARMY 
#ETH
#NFTCommunity 
#NFTdrop",0,1,Mamen_110,112,1520795040758796289
28,Sun May 01 15:59:18 +0000 2022,"Current #Ethereum Price: $2,791.56 📈",0,0,Ethereum_Hourly,201,1520795003412709377
29,Sun May 01 15:59:05 +0000 2022,@fix3d4lif3 @willythekid_84 @MMFcrypto No it’s not scaring everyone. It’s scaring noobs. Did you read the last medium or any medium? This is one of the most transparent teams I’ve come across in the crypto space. #avax 56$ #eth 2700$ #luna 80$ #router 2.70$ #btc 38k$  now compare these to their ATH. Avax ATH 144$,0,1,spirt_reborn,1240,1520794947359690753
30,Sun May 01 15:59:02 +0000 2022,"Let's pump the shit out of it 🚀🚀🚀

#ETC #EthereumClassic #ETCArmy #ETH #Ethereum #BTC #Bitcoin #vechain #Holochain #Tron #Polkadot #Algorand",1,2,Decentra18,1202,1520794936853024769
31,Sun May 01 15:59:02 +0000 2022,"@MMCrypto Not yet

And gas prices are Terrible 

Get your #ETH portfolio on @PulsechainCom #Hardfork #Ethereum #Airdrop",0,0,SecureFundToken,342,1520794934743339008
32,Sun May 01 15:58:44 +0000 2022,"#FJT #Fujicompany #crypto  #cryptocurrency #blockchain #bounty #eth #token #azbit

This is a good and powerful project this is very trusted project and trusted staff and we'll through out project in all aspects. I'm very happy to see.",0,0,moon35912470,3248,1520794861678432256
33,Sun May 01 15:58:44 +0000 2022,The new project kousik gives freedom to everyone. Now nobody will remain without work. !!#FJT #Fujicompany #crypto  #cryptocurrency #blockchain #bounty #eth #token #azbit,0,0,AAlexRos1694,4065,1520794859225116672
34,Sun May 01 15:58:41 +0000 2022,Slow 25.4 | Normal 26 | Fast 58.8 | Instant 67.8 👈 current Ethereum gas prices in gwei. DM me a price and I will DM you as soon as gas drops below that price 👍 #Ethereum #GasPrice #ETHGasPrice #ETH,0,0,ETHGasPriceBot,1181,1520794849552830464
35,Sun May 01 15:58:40 +0000 2022,"@AmerAlAloul2 @MrBigWhaleREAL #Bitgert #BRISE is future 🔮
In next 2-3 years it's going to rule the crypto like #BTC #ETH 
FOLLOW ME AND I WOULD FOLLOW U BACK TO MAKE OUR COMMUNITY STRONG 💪💪💪
Retweet, Like and Follow 💗 this tweet if you believe in this golden project. 💚💚💚",1,1,FutureBilionar,34,1520794844196753412
36,Sun May 01 15:58:21 +0000 2022,"@warren_bwi #Bitgert #BRISE is future 🔮
In next 2-3 years it's going to rule the crypto like #BTC #ETH 
FOLLOW ME AND I WOULD FOLLOW U BACK TO MAKE OUR COMMUNITY STRONG 💪💪💪
Retweet, Like and Follow 💗 this tweet if you believe in this golden project. 💚💚💚",0,0,FutureBilionar,34,1520794763213123584
37,Sun May 01 15:58:07 +0000 2022,"@Meta_UFO Good project #Ethereum #IDO #BCH
@zbrix10 
@cplin0 
@momy_al1",0,0,el_mir4,8,1520794704438509568
38,Sun May 01 15:58:05 +0000 2022,dropped pending bids lower to wait under the stoploss shifted to 2740 #ETH $ETH #ethereum #crypto,0,0,scalper432,1659,1520794695793741829
39,Sun May 01 15:58:03 +0000 2022,"This year we'll see:

#BTC ATH
$80,000+

#Ethereum ATH
$6,000+",0,0,cryptofronts,39,1520794690630696961
40,Sun May 01 15:57:55 +0000 2022,@SperdutiJenny @NFT_shilltime @ArchieNeko_ Best project ever $ARCHIE #ArchieNeko @ArchieNeko_ #eth @elonmusk #YieldFarming #staking,1,1,BraiantLegend,7,1520794657101340672
41,Sun May 01 15:57:54 +0000 2022,@elonmusk can a brother get a tweet for OthersideOfficial a meme coin on BSC tryna pay homage to the @OthersideMeta #BSC #eth @OthersideBSC,0,0,SpicyK2020,4,1520794653229928448
42,Sun May 01 15:57:33 +0000 2022,@MatthewHyland_ Great approach #Bitcoin #ETH,0,0,cryptoedge_edge,287,1520794564860256257
43,Sun May 01 15:57:29 +0000 2022,"@AbrhamTesfalem All Of Love
#ETH @Twitter #Ethiopia",0,0,AbrhamTesfalem,284,1520794546782842887
