,Date,Tweet Text,Retweet Count,Favorite Count,Username,User follower count,ID
0,Thu May 12 17:45:29 +0000 2022,"@bicyclefiio For sure This Projects seem really good in the future
Yooo joinn guys lesgoo
@airdropfun2 
@mastergaull369 
@dzakyalo

#SOLANA #BSC #ETH #Airdrops",0,0,ItSMeGhans,158,1524807991500804104
1,Thu May 12 17:45:18 +0000 2022,"🇦🇺 Ethereum(ETH) Arbitrage occured in Australia ‼
  ✅BestAsk Exchange:Binance_au
  ⬇Price (BUY): 1ETH = 2,814 AUD
  ✅BestBid Exchange:Digital Surge
  ⬆Price (SELL): 1ETH = 6,000 AUD
 💰💴Trading Profit💴💰3,186 AUD
#Ethereum #ETH #Australia #ETHAUD #Aussie",0,0,0xTimTam,71,1524807943853510659
2,Thu May 12 17:45:03 +0000 2022,"#erc20gas #ETH #crypto 
⛽️Auto 15Min ETH Gas Tracking⛽️

GWEI:
Low: 110 gwei
Avg: 111 gwei
High: 111 gwei

Opensea: Sale
Low: $43.65
Avg: $44.05
High: $44.05

Uniswap V3: Swap
Low: $39.81
Avg: $40.17
High: $40.17

USDT: Transfer
Low: $11.68
Avg: $11.78
High: $11.78",0,0,Erc20Gas,729,1524807884453863427
3,Thu May 12 17:45:02 +0000 2022,Happy Easter #VinuSquad 👀  $VINU #HappyEaster   #Bitcoin #BTC #Ethereum #ETH #doge #SHIB #FLOKI #SHINJA #Web3 #USDT #Met…,0,0,DarnellEmily1,20,1524807877659185154
4,Thu May 12 17:45:01 +0000 2022,Slow 20 | Normal 28 | Fast 109.9 | Instant 148.8 👈 current Ethereum gas prices in gwei. DM me a price and I will DM you as soon as gas drops below that price 👍 #Ethereum #GasPrice #ETHGasPrice #ETH,0,0,ETHGasPriceBot,1207,1524807874202898445
5,Thu May 12 17:44:59 +0000 2022,@BitValleyInc Bitvalley APP !!!ALL IN ONE!🤩 #BITVALLEY #APP  #PLAYSTORE #BNB #ETH,0,0,Bitvalley_aggle,96,1524807866397376512
6,Thu May 12 17:44:58 +0000 2022,"@funnygameworld  #FunnyGameWorld #crypto #bitcoin #cryptocurrency #blockchain #bounty #binance #eth #token #coinsbit
This Project with great opportunities. I wish the team to achieve their goal as soon as possible. i know this project will be grow in future.",0,0,gemryn20,90,1524807861032960003
7,Thu May 12 17:44:49 +0000 2022,"$4,2M MC now… it’s your key to become millionnaire… road to $1Bn easy .. #Cinu 
#Eth #bsc #MemeTech @CheemsInu",0,0,Klmxptz,30,1524807825557430274
8,Thu May 12 17:44:48 +0000 2022,"6wQpRbyQtAbPr2ZiFLnGSyML6Q3aWrNXmGX9Kza7xEMM   solana address, ı lost all my money, if anyone want to send some solana...

#sol #solana #solanagiveaway #solanagiveaways #solananft #nft #nfts #eth #btc #luna #NFTCommunity #NFTGiveaway #NFTdrops #terraluna #binance #Avalanche",0,0,slnnft,102,1524807819509342210
9,Thu May 12 17:44:44 +0000 2022,I remember a time when #ETH was $180. Can we bring that back please?,0,0,BrianPatino_ETH,199,1524807804791537664
10,Thu May 12 17:44:42 +0000 2022,NanoByte (NBT) went down 12.4 percent in the last 1 minutes on Binance. #NBT  #crypto #bitcoin #cryptocurrency #btc #ethereum #blockchain #eth #trading #altcoin #binance #cryptonews,0,0,cryptoalerted,184,1524807794314051590
11,Thu May 12 17:44:22 +0000 2022,"90% of my portfolio is $Bone shibaswap! 👀

$Shib #shibarium #bitcoin #ETH",0,2,Spade04333701,5293,1524807710394433540
12,Thu May 12 17:44:10 +0000 2022,"We're just a month or so into the #NFT space as @stoshunduo, just learned that the #Ethereum is continuing to plummet, so we both invested some #eth for the first time! What goes down must eventuallty come back up, right? EXCITED (and a lil nervous) to see what happens!🤞🏽👀😆",0,0,porschecarmon,162,1524807660138205196
13,Thu May 12 17:44:05 +0000 2022,"@cryptojack Right now, my top three #Cryptos are:
#ETH
$CVP
$LUXY

I believe that these #Cryptos will go beyond expected in the next few weeks.",0,0,AbbieJakey,51,1524807640777383938
14,Thu May 12 17:43:55 +0000 2022,"Can someone please send me some #Kovan Testnet #ETH or give me a working faucet address ? 🙏

0x9957F0b1c81A72CFfa7903522D016445bA0d7d33",0,0,ConixSpace,4,1524807598217773058
15,Thu May 12 17:43:53 +0000 2022,"@MMCrypto I know #LUNA would 💯 recover soon. The best advice is to keep buying more.  Even as I buy #ETH, #SOL $SYS &amp; #DGB at a discount, I don't still let out $LUNA. It's part of my weekly accumulation.",0,0,AlisonMadison19,81,1524807588726157314
16,Thu May 12 17:43:47 +0000 2022,Buy wrapped tuna token and get ritch 🤑🤑🤑🚀🚀🚀 #gyen #bitcoin #coinbase #Ethereum #Cryptocrash #cryptocurrency,0,0,Kok06617987,0,1524807562100719616
17,Thu May 12 17:43:43 +0000 2022,Requesting faucet funds into  0x05e5f180B455eF7A2cb64F7c183585DAfFFdFf0A the #Rinkeby #Ethereum test network.,0,0,AdityaDMJT,0,1524807547668115458
18,Thu May 12 17:43:39 +0000 2022,"$LUNA Some people are still saying what happened to Terra Luna is just a dip, not a crash. Yea 99.99% dip 😂😂 #LUNA #LUNAtics #Lunacrash #BTC #BitcoinCrash #bitcoin #Cryptocrash #Crypto #cryptocurrency #CryptocurrencyNews #ETH #Ethereum #cryptotrading",0,1,CGamb1er,34,1524807532245565441
19,Thu May 12 17:43:18 +0000 2022,"🇦🇺 Ethereum(ETH) Arbitrage occured in Australia ‼
  ✅BestAsk Exchange:Binance_au
  ⬇Price (BUY): 1ETH = 2,819 AUD
  ✅BestBid Exchange:Digital Surge
  ⬆Price (SELL): 1ETH = 6,000 AUD
 💰💴Trading Profit💴💰3,181 AUD
#Ethereum #ETH #Australia #ETHAUD #Aussie",0,0,0xTimTam,71,1524807440901935104
20,Thu May 12 17:43:14 +0000 2022,"@letsblinkit Afraid of Network fees ? 
Swap and Farm with 
@EdgeSwap
  🚀🚀
* 0 GAS Per Transaction⚡⚡
* Confirmation Within 0.5 Seconds🥳🥳
* Support Farming On Layer 2👍👍
#EdgeSwap #swaping #cryptocurrency #ETH",0,0,shillings_world,2,1524807427149152256
21,Thu May 12 17:43:08 +0000 2022,#FGW #FunnyGameWorld #crypto #bitcoin #blockchain #bounty #binance #eth #token #coinsbit.This is an exceptional task and greatest project.This is an incredible opportunity for joining and I trust this stage as such areas of strength for a. So folks be a piece of this undertaking.,0,2,Fahmeed7840,2826,1524807402343878663
22,Thu May 12 17:42:58 +0000 2022,"#kishimotoinu  is on fire 

Lets kill a few Zeros together because we are the fastest growing crypto community in the world. 

#Teamkishimoto #kishimoto #Kishi #Moto #Kishimoto50k #Kishimoto100k #saitama #ETH #BTC #dogecoin  #shibainu  #FLOKI  #ToTheMoon #kishimotoA5",0,2,Phillip_X_,598,1524807356776779781
23,Thu May 12 17:42:57 +0000 2022,Slow 28 | Normal 90 | Fast 127 | Instant 226.4 👈 current Ethereum gas prices in gwei. DM me a price and I will DM you as soon as gas drops below that price 👍 #Ethereum #GasPrice #ETHGasPrice #ETH,0,0,ETHGasPriceBot,1207,1524807355149557760
24,Thu May 12 17:42:50 +0000 2022,"This is a very Excillent errand of the year and the gathering behind the endeavor is incredibly successful and solid. Nice endeavor.
#FGW #FunnyGameWorld #crypto #bitcoin #cryptocurrency #blockchain #bounty #binance #eth #token #coinsbit",0,1,Fahmeed7840,2826,1524807326749843458
