Date,Time,Original tweet,Clean tweet,Positive,Neutral,Negative
2022-03-31,10:0,"Tank the Armadillo is worth 0.00087389 BTC right now!

BTC = $47328.599
Beanie = $41.36
#Bitcoin https://t.co/iYY6CvxKik",tank the armadillo is worth 000087389 btc right now btc 47328599 beanie 4136 bitcoin,0.050788458436727524,0.9202716946601868,0.02893977053463459
2022-03-31,10:0,"#Bitcoin price in Canadian Dollar $BTC $XBT $BTCCAD 
BTC Price Now : 59,134.72$ CAD 
Avg Last Hour : 59,050.42$ 
Avg 24 Hours : 58,933.07$ 
24h Change : 0.04% 
24h Low : 58,527.13$ 
24h High : 59,572.97$  
More information here https://t.co/AnKnaDahL6 https://t.co/EJEjAe1rbr",bitcoin price in canadian dollar btc xbt btccad btc price now 5913472 cad avg last hour 5905042 avg 24 hours 5893307 24h change 004 24h low 5852713 24h high 5957297 more information here,0.02174159698188305,0.92412930727005,0.05412907525897026
2022-03-31,10:0,One Bitcoin now worth $47328.22@bitstamp. High $47721.410. Low $46845.700. Market Cap $899.184 Billion #bitcoin https://t.co/ejaTMKpP7L,one bitcoin now worth 4732822bitstamp high 47721410 low 46845700 market cap 899184 billion bitcoin,0.04573332518339157,0.8429907560348511,0.11127589643001556
2022-03-31,10:0,"#Bitcoin is currently $47,328.5990",bitcoin is currently 473285990,0.018692899495363235,0.927489161491394,0.05381790176033974
2022-03-31,10:0,One Bitcoin now worth $47328.599. Market Cap $899.192 Billion. Based on #coindesk BPI #bitcoin,one bitcoin now worth 47328599 market cap 899192 billion based on coindesk bpi bitcoin,0.05745319649577141,0.9243869185447693,0.018159836530685425
2022-03-31,10:0,"Historical #BTC prices for Mar 31st

2022 - $47255
2021 - $57949
2020 - $6447
2019 - $4089
2018 - $6996
2017 - $1063
2016 - $416
2015 - $244
2014 - $468
2013 - $94
2012 - $4.91
2011 - $0.79",historical btc prices for mar 31st 2022 47255 2021 57949 2020 6447 2019 4089 2018 6996 2017 1063 2016 416 2015 244 2014 468 2013 94 2012 491 2011 079,0.02331376262009144,0.9002488851547241,0.07643736153841019
2022-03-31,10:0,"New to Crypto?  👀 🤔 📈
Here's FOUR simple reasons for you to get started!

Our latest Savings product lets you earn 30% APY on #BTC, #ETH, #DOGE, #SHIB and other major #crypto for all new users!

Register at https://t.co/e840z5ftjk!

#crypto #optionstrading #futurestrading https://t.co/QwdlNLUyzU",new to crypto here four simple reasons for you to get started our latest savings product lets you earn 30 apy on btc eth doge shib and other major crypto for all new users register at crypto optionstrading futurestrading,0.09451767057180405,0.8944364190101624,0.011045905761420727
2022-03-31,10:0,@PARABOLIT @producer_fred You hope it goes to 20k like lots of us but the market never gives us what you want up or down. #Bitcoin is unpredictable at times so we will see in time.,parabolit producerfred you hope it goes to 20k like lots of us but the market never gives us what you want up or down bitcoin is unpredictable at times so we will see in time,0.06928379088640213,0.9061466455459595,0.024569587782025337
2022-03-31,10:0,"https://t.co/t6kVcSK6IH

Crypto market:
$IOST +54.51% 🚀
$ZIL +26.54% 🚀
$SNX +12.15% 🚀
$TRX +11.8% 🚀

$WAVES -4.6% 📉
$AAVE -4.26% 📉

#IOST #ZIL #SNX #TRX #WAVES #AAVE #Bitcoin #Ethereum #crypto #ALTSEASON https://t.co/Bn58nXppRR",crypto iost 5451 zil 2654 snx 1215 trx 118 waves 46 aave 426 iost zil snx trx waves aave bitcoin ethereum crypto altseason,0.02932794578373432,0.9447835087776184,0.025888536125421524
2022-03-31,10:0,"Follow us to receive Premium Signals from Top Paid Channels for FREE!!
#Bitcoin  #BTC #ShibaInu  #SHIB #Helium  #HNT #Gala  #GALA #Cardano  #ADA",follow us to receive premium signals from top paid channels for free bitcoin btc shibainu shib helium hnt gala gala cardano ada,0.2637811601161957,0.7289929389953613,0.007225917186588049
2022-03-31,10:0,Current BTC Dominance: 41.49% #Bitcoin #Altcoin #Cryptocurrency,current btc 4149 bitcoin altcoin cryptocurrency,0.02499191090464592,0.943479061126709,0.031529031693935394
2022-03-31,10:0,"#AirCoinDAOLabs #aircoin #AirCash #AirChain 
Aircoin is a high degree of community autonomy on the BSC chain,0xd8a2ae43fd061d24acd538e3866ffc2c05151b53

#BTC  #BNB  #ethereum #binance  #Coinbase #okx  #crypto #bitkeep #Airdrop https://t.co/ywZRl3pJhV",aircoindaolabs aircoin aircash airchain aircoin is a high degree of community autonomy on the bsc chain0xd8a2ae43fd061d24acd538e3866ffc2c05151b53 btc bnb ethereum binance coinbase okx crypto bitkeep airdrop,0.1445842981338501,0.8463631272315979,0.009052533656358719
