Date,Time,Original tweet,Clean tweet,Positive,Neutral,Negative
2022-03-13,0:0,"The competition is weak. 

#Bitcoin",the competition is weak bitcoin,0.03689046576619148,0.04036444053053856,0.9227451682090759
2022-03-13,0:0,"@OzerCodesCrypto @FullThrodlHodl Listen to @saylor speak about this. Never sell #Bitcoin. You borrow against it, using #Bitcoin as pristine collateral. 

Bitcoin price will increase more annually on average than the cost of interest on your loan. You also never pay taxes since loans are not taxable events.",ozercodescrypto fullthrodlhodl listen to saylor speak about this never sell bitcoin you borrow against it using bitcoin as pristine collateral bitcoin price will increase more annually on average than the cost of interest on your loan you also never pay taxes since loans are not taxable events,0.061757929623126984,0.9130480289459229,0.02519400790333748
2022-03-13,0:0,"if you deny the fact that #bitcoin could go under 25k, you are likely to contribute to the final capitulation wick when it comes to pass.",if you deny the fact that bitcoin could go under 25k you are likely to contribute to the final capitulation wick when it comes to pass,0.04162341728806496,0.3682209849357605,0.5901556611061096
2022-03-13,0:0,"#BTC price now is: 38,904.152USD and the Day's range: 38788.625 - 39306.184 #Bitcoin #bitcoin #blockchain $BTC",btc price now 38904152usd and the day 38788625 39306184 bitcoin bitcoin blockchain btc,0.02961055003106594,0.9321164488792419,0.03827301040291786
2022-03-13,0:0,Can Shiba Inu Reach $0.0001 in 2022 ? #shib #SHIB #shibainu #bitcoin #btc #NFT,can shiba inu reach 00001 in 2022 shib shib shibainu bitcoin btc nft,0.07725752890110016,0.9062331914901733,0.016509264707565308
2022-03-13,0:0,"@MetaMtp Excellent project congratulations. @bernardo_piza @JavierJ67982447 @karina_digit @jrgomez48 #Airdrop #NFTGiveaway #Metaverse #Bitcoin
#Binance #Airdrops",metamtp excellent project congratulations bernardopiza javierj67982447 karinadigit jrgomez48 airdrop nftgiveaway metaverse bitcoin binance airdrops,0.11847194284200668,0.8685616850852966,0.01296636089682579
2022-03-13,0:0,🔴 #BTC Liquidated Long: $186K at $38710.03,btc liquidated 186k at 3871003,0.04468998312950134,0.8720157742500305,0.08329419046640396
2022-03-13,0:0,"@AirdropStario congratulations on this event, hopefully in the future this event will be successful and to the moon
@coin_avcissi
@NFTfabricante
@Xecutioner4627

#cryptocurrency #Airdrop #BSC #Bitcoin #USDT #MetaAuction #METAU #Airdropstario",airdropstario congratulations on this event hopefully in the future this event will be successful and to the moon coinavcissi nftfabricante xecutioner4627 cryptocurrency airdrop bsc bitcoin usdt metaauction metau airdropstario,0.34427323937416077,0.6481925249099731,0.00753429252654314
2022-03-13,0:0,"Top 5 #crypto prices with 24h change:

#BTC #ETH #BNB #XRP #LUNA 

🟢 $BTC $38793.58 (0.14%)
🟢 $ETH $2568.05 (0.42%)
🟢 $BNB $372.2 (0.08%)
🔴 $XRP $0.7858 (-2.09%)
🔴 $LUNA $85.99 (-2.51%)

Do you #hodl any of these coins?",top 5 crypto prices with 24h btc eth bnb xrp luna btc 3879358 014 eth 256805 042 bnb 3722 008 xrp 07858 209 luna 8599 251 do you hodl any of these coins,0.033088285475969315,0.9427058696746826,0.02420584112405777
2022-03-13,0:0,@Pentosh1 Short the market. Make short term gains then long the market. Simple #btc,pentosh1 short the market make short term gains then long the market simple btc,0.2135065495967865,0.7661534547805786,0.020340001210570335
2022-03-13,0:0,If you leave bitcoin on an exchange you are an enemy of #BTC #bitcoin and no real bitcoiner likes you. You ate nit cool . You are not with us.  Why? You simply don't understand bitcoin .,if you leave bitcoin on an exchange you are an enemy of btc bitcoin and no real bitcoiner likes you you ate nit cool you are not with us why you simply do not understand bitcoin,0.029063167050480843,0.6798969507217407,0.2910398542881012
2022-03-13,0:0,"👋 Who's someone in the #Bitcoin, #Blockchain, #Crypto, #DeFi, #NFT #NFTCommunity that we should be following/know about? 🧠Don't overthink it! The first account that comes to mind, Tag 'em below! 👇",who is someone in the bitcoin blockchain crypto defi nft nftcommunity that we should be followingknow about don t overthink it the first account that comes to mind tag em below,0.03256899118423462,0.9357285499572754,0.031702473759651184
2022-03-13,0:0,"Candle of day 12/03/2022 closed.

Open: $ 38,757.78
High: $ 39,364.06
Low: $ 38,684.75
Close: $ 38,855.65

Change: +0.25%

#Bitcoin #Candle #BullMarket",candle of day 12032022 closed 3875778 3936406 3868475 3885565 025 bitcoin candle bullmarket,0.03180467337369919,0.9184851050376892,0.04971027001738548
2022-03-13,0:0,create twitter tasks and pay with #bitcoin #ethereum or #litecoin with @jobboycom,create twitter tasks and pay with bitcoin ethereum or litecoin with jobboycom,0.02573881857097149,0.9398004412651062,0.03446068987250328
2022-03-13,0:0,"@Meta_Auction congratulations on this event, hopefully in the future this event will be successful and to the moon
@coin_avcissi
@NFTfabricante
@Xecutioner4627

#cryptocurrency #Airdrop #BSC #Bitcoin #USDT #MetaAuction #METAU #Airdropstario",metaauction congratulations on this event hopefully in the future this event will be successful and to the moon coinavcissi nftfabricante xecutioner4627 cryptocurrency airdrop bsc bitcoin usdt metaauction metau airdropstario,0.2581050992012024,0.7344509363174438,0.007443960756063461
2022-03-13,0:0,"#Bitcoin is speech. Under the 1st amendment, it cannot be banned. 
Don't believe that?
""Communication does not lose constitutional protection as “speech” simply because it is expressed in the language of computer code.""
- Junger v. Daley*, 209 F.3d 481, 484

SEND TO A NO COINER!",bitcoin is speech under the 1st amendment it cannot be banned do not believe that communication does not lose constitutional protection as speech simply because it is expressed in the language of computer code junger v daley 209 f3d 481 484 send to a no coiner,0.030143288895487785,0.9192131757736206,0.05064351484179497
2022-03-13,0:0,"@1MarkMoss @saylor Not just the ones complying. Most people hold #Bitcoin that was purchased through KYC exchanges so if it would be banned, and I mean in a harsh way as you get jail time if you do a transaction you would essentially be locked out of your funds unless you move out of Europe.",1markmoss saylor not just the ones complying most people hold bitcoin that was purchased through kyc exchanges so if it would be banned and i mean in a harsh way as you get jail time if you do a transaction you would essentially be locked out of your funds unless you move out of europe,0.018097512423992157,0.3360060453414917,0.6458964347839355
2022-03-13,0:0,"@Dennis_Porter_ #Iraq #Erbil #Ukraine #Russia #Euphoria
#أربيل #bitcoin #cryptocurrency #sell will goooo downnnnnnn 📉📉📉📉📉📉📉📉",dennisporter iraq erbil ukraine russia euphoria أربيل bitcoin cryptocurrency sell will goooo downnnnnnn,0.08061756193637848,0.8254745602607727,0.0939079150557518
2022-03-13,0:0,"@saylor #Iraq #Erbil #Ukraine #Russia #Euphoria
#أربيل #bitcoin #cryptocurrency #sell will goooo downnnnnnn 📉📉📉📉📉📉📉📉",saylor iraq erbil ukraine russia euphoria أربيل bitcoin cryptocurrency sell will goooo downnnnnnn,0.09370370954275131,0.7876567840576172,0.11863944679498672
2022-03-13,0:0,@TicTocTick How about #BTC,tictoctick how about btc,0.03467752784490585,0.9456980228424072,0.019624486565589905
2022-03-13,0:0,"@PatatasSmall @RichRogers_ @AlanJay1 @BunkFreamon @kelseyhightower @blocks @CashApp @Azteco_ #Bitcoin miners, like consumers, want cheap energy. China built coal factories to enable their poor populace access to cheap energy, an important ingredient to increasing wealth. To the extent sustainable energy is or becomes cheaper the more consumers and miners will choose it.",patatassmall richrogers alanjay1 bunkfreamon kelseyhightower blocks cashapp azteco bitcoin miners like consumers want cheap energy china built coal factories to enable their poor populace access to cheap energy an important ingredient to increasing wealth to the extent sustainable energy is or becomes cheaper the more consumers and miners will choose it,0.22219912707805634,0.7662631869316101,0.01153767853975296
2022-03-13,0:0,Any 2022 #Bitcoin bulls still left? #Crypto,any 2022 bitcoin bulls still left crypto,0.02029070444405079,0.8437368273735046,0.13597248494625092
2022-03-13,0:0,"@DenizSaaat If someone would be so kind as to send every #BTClub member with all expenses paid, I don’t think I would complain though. @xbtogroup @MarathonDH  @CurveFinance @GalaxyDigitalHQ @BitGo #Bitcoin #BTC",denizsaaat if someone would be so kind as to send every btclub member with all expenses paid i don not think i would complain though xbtogroup marathondh curvefinance galaxydigitalhq bitgo bitcoin btc,0.10518845915794373,0.8795027136802673,0.015308831818401814
2022-03-13,0:0,"The periods between the main pullbacks, lows, and spikes of #bitcoin will become less time in between spikes if the chart is truly inclining s t e e p l y. So esp if you’re used to trading on the day chart, expect each “cycle” to get quicker than the last!",the periods between the main pullbacks lows and spikes of bitcoin will become less time in between spikes if the chart is truly inclining t e e p l y so esp if youre used to trading on the day chart expect each cycle to get quicker than the last,0.08191598206758499,0.8722437620162964,0.0458403155207634
2022-03-13,0:0,@AnneTorppa #Bitcoin set you free,annetorppa bitcoin set you free,0.07455794513225555,0.9075098633766174,0.017932187765836716
2022-03-13,0:0,#Bitcoin is the only absolutely scarce and verifiable monetary asset. period.,bitcoin is the only absolutely scarce and verifiable monetary asset period,0.03595214709639549,0.9393060803413391,0.024741794914007187
2022-03-13,0:0,@Altcoin_Mark I am joining now and get my massive biggest giveaway stole my hearts #Giveway #cryptocurrency #BTC #NFT #BNB #ETH #crypto #NFTgiveaway,altcoinmark i am joining now and get my massive biggest giveaway stole my hearts giveway cryptocurrency btc nft bnb eth crypto nftgiveaway,0.1611202508211136,0.8271079063415527,0.011771834455430508
2022-03-13,0:0,"@Dennis_Porter_ No Internet, WHAT!!! Does that mean no #UBER either. # Dude, you could always save your #BTC on your flash drive wallet. You just need to put it somewhere you won't lose it! Like your head, because that's obviously empty.",dennisporter no internet what does that mean no uber either dude you could always save your btc on your flash drive wallet you just need to put it somewhere you will not lose it like your head because that is obviously empty,0.024925868958234787,0.9027836322784424,0.07229045778512955
2022-03-13,0:0,Current #Bitcoin Price is $38935 #BTC #Crypto,current bitcoin price is 38935 btc crypto,0.020599614828824997,0.9491695761680603,0.0302308090031147
2022-03-13,0:0,"@AirdropStario Thanks for giving us such a great opportunity. I am supporting it. always success for the development team to the moon

#cryptocurrency #Airdrop #BSC #Bitcoin #USDT #FaceDAO #FACE #Airdropstario",airdropstario thanks for giving us such a great opportunity i am supporting it always success for the development team to the moon cryptocurrency airdrop bsc bitcoin usdt facedao face airdropstario,0.6675494313240051,0.3231697380542755,0.009280768223106861
2022-03-13,0:0,"#BTC 23k by Tuesday 19k by Friday 
CRASH LIVE 🚨",btc 23k by tuesday 19k by friday crash live,0.03709794953465462,0.936166524887085,0.026735588908195496
2022-03-13,0:0,#Bitcoin now happening? 34k ... ??,bitcoin now happening 34k,0.062220312654972076,0.8922960162162781,0.04548366367816925
2022-03-13,0:0,"@jacobdworkin #Bitcoin  like digital gold cannot be devalued and it’s decentralization promotes transnational exchange and provides a check against economic mismanagement

@btc_ct  is a super underrated bitcoiner
I’ve been taking her tweets and TA &amp; I’ve  been doing really great

Follow her",jacobdworkin bitcoin like digital gold cannot be devalued and its decentralization promotes transnational exchange and provides a check against economic mismanagement btcct is a super underrated bitcoiner ive been taking her tweets and ta ive been doing really great follow her,0.6856755614280701,0.3026306927204132,0.01169385015964508
2022-03-13,0:0,"#BTC price now is: 38,934.9USD and the Day's range: 38788.625 - 39306.184 #Bitcoin #bitcoin #blockchain $BTC",btc price now 389349usd and the day 38788625 39306184 bitcoin bitcoin blockchain btc,0.03008963167667389,0.9316589832305908,0.038251399993896484
2022-03-13,0:0,@askthedr I own zero #bitcoin and 1 $luna that i have staked 😎,askthedr i own zero bitcoin and 1 luna that i have staked,0.04080117866396904,0.9426251649856567,0.016573701053857803
2022-03-13,0:0,#Bitcoin can’t be cancelled ✊,bitcoin can not be cancelled,0.02037942036986351,0.9214059710502625,0.05821465700864792
2022-03-13,0:0,@TheCryptoLark That is not so late to investing with cryptocurrencies. #Bitcoin,thecryptolark that is not so late to investing with cryptocurrencies bitcoin,0.09203732758760452,0.8937586545944214,0.01420393493026495
